iter	Passed	Remaining
0	45	13720
1	88	13442
2	132	13340
3	174	13137
4	218	13111
5	261	13013
6	304	12979
7	348	12942
8	394	12966
9	438	12933
10	482	12893
11	525	12840
12	570	12821
13	614	12773
14	659	12744
15	702	12691
16	747	12661
17	792	12628
18	836	12585
19	881	12562
20	924	12507
21	967	12446
22	1009	12374
23	1054	12345
24	1098	12298
25	1141	12245
26	1185	12207
27	1229	12164
28	1274	12127
29	1318	12082
30	1361	12037
31	1404	11984
32	1448	11939
33	1491	11892
34	1535	11847
35	1579	11801
36	1623	11757
37	1665	11702
38	1709	11659
39	1751	11600
40	1793	11548
41	1836	11499
42	1878	11448
43	1920	11394
44	1963	11344
45	2007	11300
46	2048	11245
47	2091	11200
48	2133	11144
49	2175	11094
50	2217	11042
51	2261	11001
52	2304	10957
53	2348	10916
54	2392	10873
55	2435	10830
56	2478	10785
57	2521	10738
58	2565	10695
59	2607	10646
60	2650	10602
61	2692	10553
62	2735	10507
63	2778	10461
64	2821	10418
65	2865	10375
66	2907	10327
67	2950	10282
68	2992	10234
69	3035	10189
70	3077	10142
71	3121	10100
72	3163	10053
73	3204	10004
74	3249	9964
75	3292	9921
76	3335	9877
77	3378	9831
78	3421	9787
79	3464	9742
80	3507	9699
81	3551	9658
82	3593	9611
83	3636	9568
84	3678	9521
85	3723	9480
86	3765	9435
87	3808	9392
88	3851	9346
89	3895	9305
90	3938	9262
91	3981	9217
92	4025	9175
93	4070	9135
94	4113	9092
95	4157	9050
96	4200	9007
97	4243	8962
98	4285	8916
99	4328	8874
100	4372	8830
101	4417	8791
102	4461	8749
103	4505	8706
104	4549	8665
105	4592	8621
106	4636	8580
107	4679	8535
108	4723	8493
109	4765	8448
110	4808	8403
111	4850	8357
112	4893	8314
113	4936	8270
114	4981	8229
115	5024	8186
116	5068	8143
117	5110	8098
118	5152	8053
119	5195	8010
120	5238	7965
121	5281	7921
122	5324	7879
123	5369	7837
124	5414	7797
125	5458	7754
126	5501	7710
127	5544	7667
128	5587	7622
129	5630	7579
130	5673	7536
131	5717	7493
132	5757	7446
133	5799	7400
134	5841	7356
135	5884	7312
136	5928	7270
137	5971	7226
138	6014	7182
139	6056	7138
140	6099	7094
141	6143	7052
142	6185	7007
143	6229	6965
144	6272	6920
145	6315	6877
146	6358	6833
147	6400	6789
148	6442	6745
149	6486	6702
150	6529	6659
151	6573	6616
152	6616	6573
153	6659	6530
154	6702	6486
155	6746	6443
156	6790	6401
157	6835	6359
158	6879	6317
159	6924	6275
160	6970	6234
161	7015	6192
162	7059	6149
163	7103	6107
164	7147	6064
165	7191	6022
166	7236	5979
167	7281	5937
168	7325	5894
169	7369	5852
170	7415	5810
171	7458	5767
172	7501	5723
173	7546	5681
174	7590	5638
175	7635	5596
176	7679	5553
177	7722	5510
178	7765	5466
179	7808	5422
180	7851	5379
181	7896	5336
182	7940	5293
183	7984	5250
184	8027	5207
185	8070	5163
186	8114	5120
187	8158	5077
188	8202	5034
189	8247	4992
190	8290	4948
191	8334	4905
192	8378	4862
193	8422	4819
194	8465	4775
195	8510	4732
196	8553	4689
197	8597	4645
198	8641	4602
199	8685	4559
200	8727	4515
201	8768	4471
202	8809	4426
203	8851	4382
204	8895	4339
205	8939	4295
206	8982	4252
207	9025	4208
208	9067	4164
209	9109	4120
210	9152	4077
211	9196	4034
212	9239	3990
213	9284	3948
214	9328	3904
215	9371	3861
216	9415	3818
217	9459	3775
218	9504	3732
219	9547	3688
220	9591	3645
221	9635	3602
222	9681	3559
223	9725	3516
224	9770	3474
225	9814	3430
226	9858	3387
227	9902	3344
228	9947	3301
229	9991	3258
230	10034	3214
231	10078	3171
232	10122	3127
233	10165	3084
234	10209	3040
235	10252	2997
236	10296	2954
237	10340	2911
238	10384	2867
239	10428	2824
240	10474	2781
241	10517	2737
242	10562	2694
243	10606	2651
244	10649	2607
245	10692	2564
246	10735	2520
247	10778	2477
248	10823	2434
249	10867	2390
250	10910	2347
251	10955	2304
252	10998	2260
253	11041	2217
254	11085	2173
255	11128	2130
256	11173	2086
257	11215	2043
258	11259	1999
259	11300	1955
260	11344	1912
261	11388	1869
262	11432	1825
263	11475	1782
264	11517	1738
265	11560	1694
266	11603	1651
267	11649	1608
268	11693	1564
269	11736	1521
270	11780	1478
271	11825	1434
272	11868	1391
273	11913	1347
274	11955	1304
275	11999	1260
276	12042	1217
277	12087	1173
278	12131	1130
279	12175	1087
280	12218	1043
281	12262	1000
282	12304	956
283	12347	912
284	12389	869
285	12433	825
286	12477	782
287	12519	738
288	12560	695
289	12603	651
290	12648	608
291	12691	565
292	12733	521
293	12776	478
294	12819	434
295	12862	391
296	12906	347
297	12949	304
298	12993	260
299	13035	217
300	13078	173
301	13121	130
302	13164	86
303	13206	43
304	13249	0
